Name,Tags,Story Points,Status,Assignees,Due Date
F8 CGO - Action - In August 2022 pay reminder of the research budget to Kenric,"F8 Community Governance Oversight,Treasury,github issue,ADA Due,Deliverable",,TODO,"Miro Treasury,₳ndré",
F8 CGO Action - Pay Allison $75 for Town Hall Slides X 2 ($150) in July 2022,"github issue,Treasury,Deliverable,ADA Due,F8 Community Governance Oversight",,TODO,"Miro Treasury,₳ndré",
F8 CGO - Action - Pay Stephen W $500 for Project Management for July 2022,"github issue,F8 Community Governance Oversight,Treasury,Deliverable,ADA Due",,TODO,"₳ndré,Miro Treasury",
F8 CGO Proposal Reporting - 24th July 2022,"ADA Due,F8 Community Governance Oversight,Deliverable,github issue",2,TODO,Stephen [QADAO][SWARM],"July 24, 2022 13:45"
F8 CGO - Catalyst Parameters Oversight scope,"Deliverable,ADA Due,github issue,F8 Community Governance Oversight",,TODO,,
F8 CGO - Catalyst Circle Oversight scope,"ADA Due,github issue,F8 Community Governance Oversight,Deliverable",,TODO,,
F8 CGO - Challenge setting scope,"F8 Community Governance Oversight,Deliverable,ADA Due,github issue",,TODO,,
F8 CGO - IOG Newsletter input - 22nd July 2022,"F8 Community Governance Oversight,ADA Due,Deliverable,github issue",1,IN_PROGRESS,"Stephen [QADAO][SWARM],CallyFromAuron","July 22, 2022 13:13"
"F8 - dRep White Paper Working Group Meeting Tuesday, 19th July 2022 - 1700 UTC","F8 Community Governance Oversight,github issue,ADA Due",4,IN_PROGRESS,"adanamics,Kenric,Stephen [QADAO][SWARM]","July 19, 2022 13:38"
F8 Community Governance Oversight Meeting 1 - Thursday 14th July 2022 - 1400 UTC,"F8 Community Governance Oversight,github issue,ADA Due,Deliverable",2,DONE,"₳ndré,CallyFromAuron,Stephen [QADAO][SWARM],Ajaxual,George Lovegrove,adanamics,Tevo Saks,Allison,mks,Miro Treasury,Kenric","July 14, 2022 13:40"
F8 CGO - IOG Newsletter input - 15th July 2022,"ADA Due,F8 Community Governance Oversight,github issue,Deliverable",0,DONE,Stephen [QADAO][SWARM],"July 15, 2022 13:42"
F8 CGO Meeting 1 - Town Hall Slides,"F8 Community Governance Oversight,github issue,ADA Due",2,DONE,Allison,"July 13, 2022 13:41"
"F8 - dRep White Paper Working Group Meeting Tuesday, 5th July 2022 - 1700 UTC","F8 Community Governance Oversight,Deliverable,ADA Due,github issue",4,DONE,"Stephen [QADAO][SWARM],Kenric,adanamics","July 5, 2022 13:38"
"F8 - dRep White Paper Working Group Meeting Tuesday, 21st June 2022 - 1700 UTC","github issue,ADA Due,Deliverable,F8 Community Governance Oversight,CGO d-reps",4,DONE,"Kenric,Stephen [QADAO][SWARM],adanamics","June 21, 2022 13:39"
Fund 8 - CGO Resource committments,"ADA Due,F8 Community Governance Oversight,Community-Governance-Oversight,github issue",2,DONE,Stephen [QADAO][SWARM],"June 30, 2022 13:42"
Fund 8 - CGO Treasury distribution,"ADA Due,F8 Community Governance Oversight,Community-Governance-Oversight,github issue",2,DONE,"Miro Treasury,₳ndré",
Fund 8 - CGO Proposal - Onboarding,"F8 Community Governance Oversight,github issue,ADA Due",2,DONE,Stephen [QADAO][SWARM],"May 15, 2022 13:39"
