Name,Tags,Story Points,Status,Assignees,Due Date
F8 CGO Proposal Reporting - 24th July 2022,"Deliverable,F8 Community Governance Oversight,github issue,ADA Due",,TODO,Stephen [QADAO][SWARM],
F8 CGO - Catalyst Parameters Oversight scope,"F8 Community Governance Oversight,github issue,ADA Due,Deliverable",,TODO,,
F8 CGO - Catalyst Circle Oversight scope,"github issue,F8 Community Governance Oversight,Deliverable,ADA Due",,TODO,,
F8 CGO - Challenge setting scope,"ADA Due,github issue,F8 Community Governance Oversight,Deliverable",,TODO,,
F8 CGO - IOG Newsletter input - 22nd July 2022,"github issue,F8 Community Governance Oversight,Deliverable,ADA Due",1,IN_PROGRESS,"CallyFromAuron,Stephen [QADAO][SWARM]","July 22, 2022 1:13 PM"
"F8 - dRep White Paper Working Group Meeting Tuesday, 19th July 2022 - 1700 UTC","ADA Due,github issue,F8 Community Governance Oversight",4,IN_PROGRESS,"Kenric,Stephen [QADAO][SWARM]","July 19, 2022 1:38 PM"
Fund 8 - CGO Treasury distribution,"Community-Governance-Oversight,F8 Community Governance Oversight,ADA Due,github issue",2,IN_PROGRESS,"Stephen [QADAO][SWARM],Miro Treasury",
F8 Community Governance Oversight Meeting 1 - Thursday 14th July 2022 - 1400 UTC,"Deliverable,github issue,ADA Due,F8 Community Governance Oversight",4,DONE,Stephen [QADAO][SWARM],"July 14, 2022 1:40 PM"
F8 CGO - IOG Newsletter input - 15th July 2022,"ADA Due,Deliverable,github issue,F8 Community Governance Oversight",0,DONE,Stephen [QADAO][SWARM],"July 15, 2022 1:42 PM"
F8 CGO Meeting 1 - Town Hall Slides,"F8 Community Governance Oversight,github issue,ADA Due",2,DONE,Allison,"July 13, 2022 1:41 PM"
"F8 - dRep White Paper Working Group Meeting Tuesday, 5th July 2022 - 1700 UTC","F8 Community Governance Oversight,github issue,ADA Due,Deliverable",4,DONE,"Kenric,Stephen [QADAO][SWARM]","July 5, 2022 1:38 PM"
"F8 - dRep White Paper Working Group Meeting Tuesday, 21st June 2022 - 1700 UTC","ADA Due,CGO d-reps,github issue,Deliverable,F8 Community Governance Oversight",4,DONE,"Kenric,Stephen [QADAO][SWARM]","June 21, 2022 1:39 PM"
Fund 8 - CGO Resource committments,"github issue,F8 Community Governance Oversight,Community-Governance-Oversight,ADA Due",2,DONE,Stephen [QADAO][SWARM],"June 30, 2022 1:42 PM"
Fund 8 - CGO Proposal - Onboarding,"github issue,F8 Community Governance Oversight,ADA Due",2,DONE,Stephen [QADAO][SWARM],"May 15, 2022 1:39 PM"
